label,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
[C5] Indonesia/Central Java,0.128333,0.038333,-0.041667,-0.041667,-0.041667,-0.041667
[noise] Indonesia/East Java,0.265,-0.09,-0.09,-0.05,0.015,-0.05
[C2] Indonesia/North Sumatra,0.009667,-0.024333,-0.124333,0.023667,0.091667,0.023667
[noise] Indonesia/Sulawesi,0.061667,0.061667,-0.228333,-0.188333,0.186667,0.106667
[noise] Japan/Okinawa,-0.013333,-0.013333,-0.013333,-0.343333,0.316667,0.066667
[noise] Kenya/Central,-0.037917,0.044583,-0.077917,0.147083,0.044583,-0.120417
[C1] Kenya/Kiambu,-0.197222,0.049444,-0.117222,0.162778,0.022778,0.079444
[C0] Kenya/Kirinyaga,0.003333,0.003333,-0.086667,0.163333,-0.086667,0.003333
[C5] Kenya/Meru,0.426667,0.016667,0.016667,-0.073333,-0.403333,0.016667
[C0] Kenya/Murang'a,0.051667,-0.028333,-0.028333,0.221667,-0.108333,-0.108333
[C4] Kenya/Nyeri,0.039444,0.009444,-0.045,0.048333,-0.100556,0.048333
[C5] Laos/Champasak,0.160833,0.115833,-0.089167,-0.089167,-0.089167,-0.009167
[C0] Malawi/Northern,0.161852,0.006296,-0.152593,0.05963,-0.062593,-0.012593
[noise] Malawi/Southern,0.255833,-0.034167,-0.034167,-0.159167,0.005833,-0.034167
[noise] Mauritius/Rivière Noire,0.04,0.04,-0.04,-0.04,0.04,-0.04
[C0] Mexico/Chiapas,0.090516,0.002207,-0.129202,0.048967,0.027136,-0.039624
[noise] Mexico/Colima,-0.03375,0.06875,-0.01625,0.11125,0.07125,-0.20125
[C3] Mexico/Guerrero,0.031875,0.134375,-0.145625,-0.051875,0.010625,0.020625
[C5] Mexico/Hidalgo,0.138846,0.108077,-0.071923,-0.064231,-0.103462,-0.007308
[C4] Mexico/Jalisco,0.033333,0.003333,-0.023333,0.033333,-0.05,0.003333
[noise] Mexico/Nayarit,-0.481667,0.148333,-0.351667,-0.101667,-0.231667,1.018333
[C0] Mexico/Oaxaca,0.122204,-0.006183,-0.132634,0.070914,0.009946,-0.064247
[C2] Mexico/Puebla,0.0725,-0.065,-0.19,0.03,0.12375,0.02875
[C0] Mexico/Veracruz,0.091914,-0.004707,-0.164437,0.107725,0.025428,-0.055923
[noise] Myanmar/Mandalay,-0.052778,0.137222,-0.166111,0.250556,0.027222,-0.196111
