label,country,admin1,cluster,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
Guatemala/Norte,Guatemala,Norte,後味すっきり・酸味しっかり (C0),0.041111,0.041111,-0.125556,0.097778,0.067778,-0.122222
Guatemala/Nuevo Oriente,Guatemala,Nuevo Oriente,後味すっきり・酸味しっかり (C0),0.069815,0.004259,-0.207963,0.254259,-0.013519,-0.106852
Guatemala/Occidente,Guatemala,Occidente,後味すっきり・酸味しっかり (C0),0.023333,-0.056667,-0.136667,0.363333,-0.056667,-0.136667
Guatemala/Oriente,Guatemala,Oriente,独自の味わい,0.089177,-0.016132,-0.244033,0.104115,0.0293,0.037572
Guatemala/Quetzaltenango,Guatemala,Quetzaltenango,コク深い・後味すっきり・あっさり (C2),0.003333,-0.086667,-0.086667,0.003333,0.083333,0.083333
Guatemala/Quiché,Guatemala,Quiché,酸味しっかり・香り控えめ (C1),-0.156667,0.013333,-0.066667,0.263333,0.013333,-0.066667
Guatemala/San Marcos,Guatemala,San Marcos,後味すっきり・酸味しっかり (C0),0.008981,0.078426,-0.213241,0.139537,-0.027685,0.013981
Guatemala/Santa Rosa,Guatemala,Santa Rosa,後味すっきり・酸味しっかり (C0),0.051833,0.035833,-0.164167,0.061833,0.043833,-0.029167
Haiti/Artibonite,Haiti,Artibonite,コク深い・後味すっきり・あっさり (C2),-0.005833,-0.175833,-0.090833,0.079167,0.364167,-0.170833
Haiti/Nord,Haiti,Nord,バランス良好 (C4),0.020833,-0.024167,-0.064167,-0.019167,0.065833,0.020833
Haiti/Sud-Est,Haiti,Sud-Est,コク深い・後味すっきり・あっさり (C2),-0.003333,-0.083333,0.086667,-0.083333,0.246667,-0.163333
Honduras/Central Region,Honduras,Central Region,後味すっきり・酸味しっかり (C0),-0.031667,0.078333,-0.228333,0.108333,0.051667,0.021667
Honduras/Comayagua,Honduras,Comayagua,後味すっきり (C3),0.055088,0.058246,-0.103333,-0.001754,0.011404,-0.019649
Honduras/El Paraíso,Honduras,El Paraíso,後味すっきり (C3),0.075833,0.075833,-0.214167,-0.009167,0.035833,0.035833
Honduras/Intibucá,Honduras,Intibucá,独自の味わい,-0.029167,0.055833,-0.151667,0.055833,0.055833,0.013333
Honduras/La Paz,Honduras,La Paz,後味すっきり・酸味しっかり (C0),0.180778,-0.001889,-0.151889,0.065444,0.030778,-0.123222
Honduras/Ocotepeque,Honduras,Ocotepeque,独自の味わい,0.441667,0.026667,-0.263333,-0.093333,0.026667,-0.138333
Honduras/Western Region,Honduras,Western Region,独自の味わい,0.082778,-0.053889,-0.223889,0.086111,0.082778,0.026111
India/Karnataka,India,Karnataka,バランス良好 (C4),0.032949,-0.007051,-0.057051,-0.013974,0.006795,0.038333
Indonesia/Aceh,Indonesia,Aceh,後味すっきり (C3),-0.026,0.072,-0.076,0.03,0.004,-0.004
Indonesia/Bali,Indonesia,Bali,独自の味わい,0.145,0.145,-0.23,-0.02,0.025,-0.065
Indonesia/Central Java,Indonesia,Central Java,香り華やか・軽やか (C5),0.128333,0.038333,-0.041667,-0.041667,-0.041667,-0.041667
Indonesia/East Java,Indonesia,East Java,独自の味わい,0.265,-0.09,-0.09,-0.05,0.015,-0.05
