,Species,Country.of.Origin,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Total.Cup.Points,Cluster,FlavorCluster,Country_Group,Processing_Group,Variety_Group
807,Arabica,Brazil,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,0.11,82.0,2,コク・バランス系,Brazil,ナチュラル,Mundo Novo
808,Arabica,Mexico,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,0.12,82.0,1,酸味系,Mexico,ウォッシュド,Typica
809,Arabica,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,0.12,82.0,1,酸味系,Brazil,ナチュラル,Mundo Novo
810,Arabica,Brazil,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,0.11,82.0,1,酸味系,Brazil,セミウォッシュド,Catuai
811,Arabica,Guatemala,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,0.11,82.0,2,コク・バランス系,Guatemala,ナチュラル,Bourbon
812,Arabica,Brazil,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,0.12,82.0,1,酸味系,Brazil,セミウォッシュド,Mundo Novo
813,Arabica,Guatemala,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,0.0,82.0,3,丸み系,Guatemala,ウォッシュド,Bourbon
814,Arabica,Colombia,Caturra,,7.33,7.0,7.08,7.42,7.5,7.67,10.0,10.0,10.0,0.07,82.0,1,酸味系,Colombia,その他,Caturra
815,Arabica,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,0.1,81.92,1,酸味系,Guatemala,ウォッシュド,Bourbon
816,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,0.11,81.92,1,酸味系,Guatemala,ウォッシュド,Bourbon
817,Arabica,Honduras,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,0.12,81.92,1,酸味系,Honduras,ウォッシュド,Caturra
818,Arabica,Brazil,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,0.11,81.92,2,コク・バランス系,Brazil,ナチュラル,Catuai
819,Arabica,El Salvador,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,0.11,81.92,1,酸味系,その他,ウォッシュド,Bourbon
820,Arabica,Guatemala,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,0.11,81.92,1,酸味系,Guatemala,ウォッシュド,Catuai
821,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,0.12,81.92,2,コク・バランス系,"Tanzania, United Republic Of",ウォッシュド,Other
